[2016/9/18 - 20:30:59] Thai Nguyen has edited HouseID 0's Exterior. (Before:  0.000000, 0.000000, 0.000000 | After: 1960.201782, -2243.242431, 13.5468
[2016/9/18 - 20:31:13] Thai Nguyen has edited HouseID 1's Exterior. (Before:  0.000000, 0.000000, 0.000000 | After: 1958.760864, -2245.735107, 13.5468
[2016/9/18 - 20:31:21] Thai Nguyen has edited HouseID 2's Exterior. (Before:  0.000000, 0.000000, 0.000000 | After: 1959.337036, -2248.270507, 13.5468
[2016/9/18 - 20:31:22] Thai Nguyen has edited HouseID 3's Exterior. (Before:  0.000000, 0.000000, 0.000000 | After: 1959.337036, -2248.270507, 13.5468
[2016/9/18 - 20:31:24] Thai Nguyen has edited HouseID 4's Exterior. (Before:  0.000000, 0.000000, 0.000000 | After: 1959.337036, -2248.270507, 13.5468
[2016/9/18 - 20:31:25] Thai Nguyen has edited HouseID 5's Exterior. (Before:  0.000000, 0.000000, 0.000000 | After: 1959.337036, -2248.270507, 13.5468
[2016/9/18 - 20:31:27] Thai Nguyen has edited HouseID 6's Exterior. (Before:  0.000000, 0.000000, 0.000000 | After: 1959.337036, -2248.270507, 13.5468
[2016/9/18 - 20:31:28] Thai Nguyen has edited HouseID 7's Exterior. (Before:  0.000000, 0.000000, 0.000000 | After: 1959.337036, -2248.270507, 13.5468
[2016/9/18 - 20:31:29] Thai Nguyen has edited HouseID 8's Exterior. (Before:  0.000000, 0.000000, 0.000000 | After: 1959.337036, -2248.270507, 13.5468
[2016/9/18 - 20:31:31] Thai Nguyen has edited HouseID 9's Exterior. (Before:  0.000000, 0.000000, 0.000000 | After: 1959.337036, -2248.270507, 13.5468
[2016/9/18 - 20:31:33] Thai Nguyen has edited HouseID 10's Exterior. (Before:  0.000000, 0.000000, 0.000000 | After: 1959.337036, -2248.270507, 13.546
[2016/9/18 - 20:31:34] Thai Nguyen has edited HouseID 11's Exterior. (Before:  0.000000, 0.000000, 0.000000 | After: 1959.337036, -2248.270507, 13.546
[2016/9/18 - 20:31:38] Thai Nguyen has edited HouseID 12's Exterior. (Before:  0.000000, 0.000000, 0.000000 | After: 1959.580688, -2248.112548, 13.546
[2016/9/18 - 20:31:40] Thai Nguyen has edited HouseID 13's Exterior. (Before:  0.000000, 0.000000, 0.000000 | After: 1959.580688, -2248.112548, 13.546
